from_node,to_node,line,edge_type,estimated_minutes
NS1,NS2,NSL,ride,2.5
NS2,NS3,NSL,ride,2.5
NS3,NS4,NSL,ride,2.5
NS4,NS5,NSL,ride,2.5
NS5,NS7,NSL,ride,2.5
NS7,NS8,NSL,ride,2.5
NS8,NS9,NSL,ride,2.5
NS9,NS10,NSL,ride,2.5
NS10,NS11,NSL,ride,2.5
NS11,NS12,NSL,ride,2.5
NS12,NS13,NSL,ride,2.5
NS13,NS14,NSL,ride,2.5
NS14,NS15,NSL,ride,2.5
NS15,NS16,NSL,ride,2.5
NS16,NS17,NSL,ride,2.5
NS17,NS18,NSL,ride,2.5
NS18,NS19,NSL,ride,2.5
NS19,NS20,NSL,ride,2.5
NS20,NS21,NSL,ride,2.5
NS21,NS22,NSL,ride,2.5
NS22,NS23,NSL,ride,2.5
NS23,NS24,NSL,ride,2.5
NS24,NS25,NSL,ride,2.5
NS25,NS26,NSL,ride,2.5
NS26,NS27,NSL,ride,2.5
NS27,NS28,NSL,ride,2.5
EW1,EW2,EWL,ride,2.5
EW2,EW3,EWL,ride,2.5
EW3,EW4,EWL,ride,2.5
EW4,EW5,EWL,ride,2.5
EW5,EW6,EWL,ride,2.5
EW6,EW7,EWL,ride,2.5
EW7,EW8,EWL,ride,2.5
EW8,EW9,EWL,ride,2.5
EW9,EW10,EWL,ride,2.5
EW10,EW11,EWL,ride,2.5
EW11,EW12,EWL,ride,2.5
EW12,EW13,EWL,ride,2.5
EW13,EW14,EWL,ride,2.5
EW14,EW15,EWL,ride,2.5
EW15,EW16,EWL,ride,2.5
EW16,EW17,EWL,ride,2.5
EW17,EW18,EWL,ride,2.5
EW18,EW19,EWL,ride,2.5
EW19,EW20,EWL,ride,2.5
EW20,EW21,EWL,ride,2.5
EW21,EW22,EWL,ride,2.5
EW22,EW23,EWL,ride,2.5
EW23,EW24,EWL,ride,2.5
EW24,EW25,EWL,ride,2.5
EW25,EW26,EWL,ride,2.5
EW26,EW27,EWL,ride,2.5
EW27,EW28,EWL,ride,2.5
EW28,EW29,EWL,ride,2.5
EW29,EW30,EWL,ride,2.5
EW30,EW31,EWL,ride,2.5
EW31,EW32,EWL,ride,2.5
EW32,EW33,EWL,ride,2.5
NE1,NE3,NEL,ride,2.5
NE3,NE4,NEL,ride,2.5
NE4,NE5,NEL,ride,2.5
NE5,NE6,NEL,ride,2.5
NE6,NE7,NEL,ride,2.5
NE7,NE8,NEL,ride,2.5
NE8,NE9,NEL,ride,2.5
NE9,NE10,NEL,ride,2.5
NE10,NE11,NEL,ride,2.5
NE11,NE12,NEL,ride,2.5
NE12,NE13,NEL,ride,2.5
NE13,NE14,NEL,ride,2.5
NE14,NE15,NEL,ride,2.5
NE15,NE16,NEL,ride,2.5
NE16,NE17,NEL,ride,2.5
NE17,NE18,NEL,ride,2.5
CC1,CC2,CCL,ride,2.0
CC2,CC3,CCL,ride,2.0
CC3,CC4,CCL,ride,2.0
CC4,CC5,CCL,ride,2.0
CC5,CC6,CCL,ride,2.0
CC6,CC7,CCL,ride,2.0
CC7,CC8,CCL,ride,2.0
CC8,CC9,CCL,ride,2.0
