station_code,station_name,line,interchange_group
NS1,Jurong East,NSL,JURONG_EAST
EW24,Jurong East,EWL,JURONG_EAST
NS2,Bukit Batok,NSL,BUKIT_BATOK
NS3,Bukit Gombak,NSL,BUKIT_GOMBAK
NS4,Choa Chu Kang,NSL,CHOA_CHU_KANG
BP1,Choa Chu Kang,BPLRT,CHOA_CHU_KANG
NS5,Yew Tee,NSL,YEW_TEE
NS7,Kranji,NSL,KRANJI
NS8,Marsiling,NSL,MARSILING
NS9,Woodlands,NSL,WOODLANDS
TE2,Woodlands,TEL,WOODLANDS
NS10,Admiralty,NSL,ADMIRALTY
NS11,Sembawang,NSL,SEMBAWANG
NS12,Canberra,NSL,CANBERRA
NS13,Yishun,NSL,YISHUN
NS14,Khatib,NSL,KHATIB
NS15,Yio Chu Kang,NSL,YIO_CHU_KANG
NS16,Ang Mo Kio,NSL,ANG_MO_KIO
NS17,Bishan,NSL,BISHAN
CC15,Bishan,CCL,BISHAN
NS18,Braddell,NSL,BRADDELL
NS19,Toa Payoh,NSL,TOA_PAYOH
NS20,Novena,NSL,NOVENA
NS21,Newton,NSL,NEWTON
DT11,Newton,DTL,NEWTON
NS22,Orchard,NSL,ORCHARD
TE14,Orchard,TEL,ORCHARD
NS23,Somerset,NSL,SOMERSET
NS24,Dhoby Ghaut,NSL,DHOBY_GHAUT
NE6,Dhoby Ghaut,NEL,DHOBY_GHAUT
CC1,Dhoby Ghaut,CCL,DHOBY_GHAUT
NS25,City Hall,NSL,CITY_HALL
EW13,City Hall,EWL,CITY_HALL
NS26,Raffles Place,NSL,RAFFLES_PLACE
EW14,Raffles Place,EWL,RAFFLES_PLACE
NS27,Marina Bay,NSL,MARINA_BAY
CC33,Marina Bay,CCL,MARINA_BAY
TE20,Marina Bay,TEL,MARINA_BAY
NS28,Marina South Pier,NSL,MARINA_SOUTH_PIER
EW1,Pasir Ris,EWL,PASIR_RIS
EW2,Tampines,EWL,TAMPINES
DT32,Tampines,DTL,TAMPINES
EW3,Simei,EWL,SIMEI
EW4,Tanah Merah,EWL,TANAH_MERAH
EW5,Bedok,EWL,BEDOK
EW6,Kembangan,EWL,KEMBANGAN
EW7,Eunos,EWL,EUNOS
EW8,Paya Lebar,EWL,PAYA_LEBAR
CC9,Paya Lebar,CCL,PAYA_LEBAR
EW9,Aljunied,EWL,ALJUNIED
EW10,Kallang,EWL,KALLANG
EW11,Lavender,EWL,LAVENDER
EW12,Bugis,EWL,BUGIS
DT14,Bugis,DTL,BUGIS
EW15,Tanjong Pagar,EWL,TANJONG_PAGAR
EW16,Outram Park,EWL,OUTRAM_PARK
NE3,Outram Park,NEL,OUTRAM_PARK
TE17,Outram Park,TEL,OUTRAM_PARK
EW17,Tiong Bahru,EWL,TIONG_BAHRU
EW18,Redhill,EWL,REDHILL
EW19,Queenstown,EWL,QUEENSTOWN
EW20,Commonwealth,EWL,COMMONWEALTH
EW21,Buona Vista,EWL,BUONA_VISTA
CC22,Buona Vista,CCL,BUONA_VISTA
EW22,Dover,EWL,DOVER
EW23,Clementi,EWL,CLEMENTI
EW25,Chinese Garden,EWL,CHINESE_GARDEN
EW26,Lakeside,EWL,LAKESIDE
EW27,Boon Lay,EWL,BOON_LAY
EW28,Pioneer,EWL,PIONEER
EW29,Joo Koon,EWL,JOO_KOON
EW30,Gul Circle,EWL,GUL_CIRCLE
EW31,Tuas Crescent,EWL,TUAS_CRESCENT
EW32,Tuas West Road,EWL,TUAS_WEST_ROAD
EW33,Tuas Link,EWL,TUAS_LINK
CG1,Expo,EWL,EXPO
DT35,Expo,DTL,EXPO
CG2,Changi Airport,EWL,CHANGI_AIRPORT
NE1,HarbourFront,NEL,HARBOURFRONT
CC29,HarbourFront,CCL,HARBOURFRONT
NE4,Chinatown,NEL,CHINATOWN
DT19,Chinatown,DTL,CHINATOWN
NE5,Clarke Quay,NEL,CLARKE_QUAY
NE7,Little India,NEL,LITTLE_INDIA
DT12,Little India,DTL,LITTLE_INDIA
NE8,Farrer Park,NEL,FARRER_PARK
NE9,Boon Keng,NEL,BOON_KENG
NE10,Potong Pasir,NEL,POTONG_PASIR
NE11,Woodleigh,NEL,WOODLEIGH
NE12,Serangoon,NEL,SERANGOON
CC13,Serangoon,CCL,SERANGOON
NE13,Kovan,NEL,KOVAN
NE14,Hougang,NEL,HOUGANG
NE15,Buangkok,NEL,BUANGKOK
NE16,Sengkang,NEL,SENGKANG
STC,Sengkang,SKLRT,SENGKANG
NE17,Punggol,NEL,PUNGGOL
PTC,Punggol,PGLRT,PUNGGOL
NE18,Punggol Coast,NEL,PUNGGOL_COAST
CC2,Bras Basah,CCL,BRAS_BASAH
CC3,Esplanade,CCL,ESPLANADE
CC4,Promenade,CCL,PROMENADE
DT15,Promenade,DTL,PROMENADE
CC5,Nicoll Highway,CCL,NICOLL_HIGHWAY
CC6,Stadium,CCL,STADIUM
CC7,Mountbatten,CCL,MOUNTBATTEN
CC8,Dakota,CCL,DAKOTA
CC10,MacPherson,CCL,MACPHERSON
DT26,MacPherson,DTL,MACPHERSON
CC11,Tai Seng,CCL,TAI_SENG
CC12,Bartley,CCL,BARTLEY
CC14,Lorong Chuan,CCL,LORONG_CHUAN
CC16,Marymount,CCL,MARYMOUNT
CC17,Caldecott,CCL,CALDECOTT
TE9,Caldecott,TEL,CALDECOTT
CC19,Botanic Gardens,CCL,BOTANIC_GARDENS
DT9,Botanic Gardens,DTL,BOTANIC_GARDENS
CC20,Farrer Road,CCL,FARRER_ROAD
CC21,Holland Village,CCL,HOLLAND_VILLAGE
CC23,one-north,CCL,ONE-NORTH
